4,?,?,?,2,0,3,?,?,?,1,1,?,?,1,1,1,?,5,0,1,1,0,1,1,?,?,?,?,?,1,1,1,1,1,0,?,?,?,?,?,0,1,3,0,south_EU,2,3,1,1,1,1,?,?,1,2,0
4,0,1,0,?,?,3,?,?,?,1,2,?,?,3,2,2,3,4,0,1,0,0,1,?,?,?,?,?,2,?,2,2,2,1,?,?,?,?,?,?,?,1,2,0,south_EU,2,2,1,2,1,?,?,?,1,?,0
2,?,?,?,2,0,1,1,0,0,1,1,0,1,3,2,2,1,5,0,1,0,0,1,1,2,3,3,3,2,1,2,2,2,1,0,1,1,1,0,1,1,1,3,100,south_EU,1,2,2,2,2,1,?,1,2,1,10
2,1,0,0,?,0,2,1,0,0,1,1,1,0,3,2,2,2,4,0,0,0,0,1,1,1,3,2,2,5,1,1,?,2,1,0,0,0,1,1,0,1,1,3,90,south_EU,?,2,1,1,1,0,?,?,3,1,10
2,1,0,0,3,1,1,1,0,0,1,2,0,1,3,2,2,2,5,0,0,1,0,1,3,1,3,3,2,5,1,2,2,2,1,1,0,0,1,0,1,1,1,2,0,south_EU,3,2,1,1,1,1,1,2,3,1,10
1,0,1,0,2,1,2,1,0,0,1,1,0,1,2,3,2,2,2,0,1,0,0,1,2,3,3,3,3,1,0,2,1,1,1,0,1,0,0,1,0,1,1,3,100,south_EU,2,3,2,1,2,1,1,2,2,2,5
1,1,0,0,1,1,2,1,0,0,1,1,0,1,3,1,2,3,3,0,1,0,0,1,2,2,2,2,2,1,0,1,2,2,1,0,1,0,0,1,0,1,1,3,100,south_EU,2,2,2,2,2,1,0,1,2,2,5
2,1,0,0,1,1,2,0,1,0,1,2,1,0,4,2,4,3,5,0,1,0,0,1,3,2,3,3,1,2,0,2,2,2,1,1,0,0,1,0,1,1,0,2,51,south_EU,1,3,2,1,1,1,1,?,2,2,15
2,0,1,0,2,1,2,0,1,0,1,1,1,0,2,2,2,2,5,0,1,0,0,1,3,1,1,1,1,1,?,2,2,2,1,1,0,0,1,0,1,0,1,3,100,south_EU,2,2,2,2,2,1,1,1,1,2,0
3,0,1,0,3,0,1,0,0,1,1,1,0,1,2,2,2,2,4,0,1,0,0,1,1,3,3,3,3,3,1,2,2,2,1,0,0,0,1,1,0,1,1,3,100,south_EU,2,3,1,1,1,1,0,1,2,2,0
5,?,?,?,3,0,2,1,0,0,1,1,1,1,3,3,4,3,5,0,0,1,0,1,1,2,2,2,2,3,1,2,?,1,1,0,?,?,?,0,1,0,0,3,60,south_EU,3,3,2,1,2,1,0,?,2,?,25
4,1,0,0,2,0,3,0,1,0,1,2,1,0,2,2,2,3,4,0,1,0,0,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,0,1,1,3,100,south_EU,2,3,2,1,2,1,0,1,1,2,0
4,?,?,?,3,0,2,1,0,0,1,1,1,0,3,3,1,1,4,0,0,1,0,1,1,1,2,3,2,5,1,1,?,2,1,0,0,1,1,1,0,1,1,3,80,south_EU,1,1,1,1,1,1,?,?,1,2,20
2,?,?,?,2,0,2,1,0,0,1,1,1,0,2,1,4,1,5,0,1,0,0,1,1,2,3,2,2,4,1,1,1,2,1,0,0,1,0,1,0,1,1,3,100,south_EU,2,2,1,1,2,1,?,1,1,2,15
2,0,1,0,1,1,1,0,0,1,1,2,0,1,3,1,3,2,4,0,1,0,0,1,3,2,3,3,3,1,0,1,3,2,1,1,0,0,1,0,1,1,1,3,100,south_EU,2,3,1,1,2,1,1,1,2,2,10
2,?,?,?,1,0,2,1,0,0,1,2,1,0,2,3,2,3,4,0,0,0,1,1,1,2,1,2,3,3,1,1,?,1,1,0,0,0,1,1,0,1,1,2,90,south_EU,?,3,1,1,2,1,?,?,2,2,10
2,1,0,0,1,1,2,1,0,0,1,1,1,0,3,3,2,2,4,0,0,0,1,1,3,3,3,3,3,5,1,2,2,2,1,1,0,0,1,1,0,1,1,2,70,south_EU,3,3,2,1,2,1,1,1,1,1,10
