3,1,0,1,3,3,5,0,4,1,2,central_EU,2
3,0,0,1,2,3,5,0,4,1,1,central_EU,1
4,1,1,0,4,2,5,1,3,1,3,central_EU,2
4,1,1,0,3,3,5,0,3,1,2,central_EU,1
4,1,0,1,3,3,5,0,2,1,1,central_EU,2
5,1,0,1,3,5,5,0,5,1,2,central_EU,2
3,1,0,1,4,3,5,0,3,1,2,central_EU,1
4,1,0,1,3,4,5,0,5,1,2,central_EU,1
4,1,0,1,3,2,5,1,5,1,1,central_EU,2
1,1,0,1,1,2,5,1,1,0,1,north_EU,2
2,0,1,0,3,4,5,1,3,1,3,north_EU,3
4,1,1,1,4,4,5,1,5,1,2,north_EU,2
4,0,1,0,3,3,5,1,5,1,2,north_EU,1
2,0,0,1,2,3,5,1,5,1,2,north_EU,1
1,1,0,1,3,3,4,1,2,1,1,north_EU,1
1,0,1,0,3,3,3,1,1,1,2,north_EU,2
3,1,1,0,3,5,4,0,2,1,2,north_EU,2
1,1,1,1,4,1,4,0,3,1,1,north_EU,1
2,1,1,0,4,4,5,1,5,1,1,north_EU,2
3,0,0,1,3,3,5,1,5,1,2,north_EU,2
3,1,0,1,3,3,5,1,5,1,2,north_EU,2
2,1,1,0,3,4,5,0,2,1,2,north_EU,1
3,1,1,0,4,4,5,1,4,1,1,north_EU,1
3,1,1,0,3,4,5,1,5,1,3,north_EU,1
4,1,0,1,3,4,4,1,2,1,1,north_EU,1
3,1,0,1,3,3,5,1,3,1,2,north_EU,2
3,1,0,1,4,3,5,1,4,1,2,north_EU,2
3,1,0,1,4,3,4,1,2,1,2,central_EU,2
5,1,0,1,4,3,5,1,3,1,2,central_EU,3
4,1,0,1,3,2,3,1,?,1,1,central_EU,2
4,1,0,1,3,2,5,1,2,1,2,central_EU,2
3,1,1,0,2,2,3,1,2,0,1,south_EU,1
1,1,1,0,3,2,1,1,1,0,2,south_EU,2
2,?,1,1,4,4,1,1,1,0,1,south_EU,2
2,?,1,1,4,3,5,1,3,1,1,south_EU,1
2,1,1,0,4,2,3,1,2,0,2,south_EU,3
2,?,1,0,4,3,1,1,1,?,1,south_EU,2
3,?,1,0,2,2,3,1,2,0,?,south_EU,1
