4,?,1,0,?,?,3,1,2,1,1,south_EU,2
3,1,0,1,2,2,3,1,3,0,1,south_EU,1
3,?,0,1,4,2,5,1,2,1,1,south_EU,1
1,1,1,0,4,1,5,1,4,0,2,south_EU,2
3,?,1,0,2,2,3,1,4,0,1,south_EU,2
3,?,1,0,4,?,1,1,1,1,1,south_EU,1
5,?,?,?,?,?,3,1,?,0,?,south_EU,?
3,1,0,1,4,2,5,1,?,?,1,south_EU,2
2,?,1,0,4,2,3,1,2,0,1,south_EU,2
2,?,1,0,3,4,5,1,4,0,1,south_EU,1
4,?,0,1,2,2,3,1,2,1,1,south_EU,2
3,1,1,0,4,?,3,1,1,1,1,south_EU,2
2,?,1,1,3,3,5,1,4,0,1,south_EU,2
3,?,1,0,4,2,3,1,3,1,1,south_EU,2
2,1,1,1,4,3,5,1,2,1,1,south_EU,1
